nome,genero,data,cidade,estado
Raffaello Balma,Male,02/10/1999,New York City,New York
Elwira Rolfi,Female,16/10/1999,Buffalo,New York
Fern Longland,Female,11/02/2000,New York City,New York
Rudolph Shipman,Male,22/10/1999,New York City,New York
Fleur Le Monnier,Female,25/02/2000,Staten Island,New York
Spence Arpino,Male,29/03/2000,Topeka,Kansas
Mandel Eagling,Male,12/01/2000,New York City,New York
Elisha Pracy,Male,02/01/2000,New York City,New York
Sharline Reinbeck,Female,31/10/1999,Jamaica,New York
Desi Pound,Male,17/03/2000,Brooklyn,New York
Sarina Padgham,Female,12/12/1999,Shawnee Mission,Kansas
Markos Willbourne,Male,06/12/1999,Jamaica,New York
Maryanna Wellard,Female,15/03/2000,Albany,New York
Sergent Daviddi,Male,04/10/1999,Albany,New York
Gwen Fawks,Female,03/11/1999,Yonkers,New York
Mareah Eley,Female,31/12/1999,Schenectady,New York
Lazaro Fortune,Male,07/12/1999,Syracuse,New York
Harli Fridd,Female,19/03/2000,New York City,New York
Zacharias Ransome,Male,27/03/2000,Rochester,New York
Avivah Reddington,Female,17/12/1999,New York City,New York
Gustaf Fellman,Male,29/11/1999,Great Neck,New York
Lisle Tows,Male,22/02/2000,New York City,New York
Boone Spawton,Male,04/10/1999,Rochester,New York
Omar Merwe,Male,04/01/2000,Staten Island,New York
Reece Loud,Male,10/11/1999,Jamaica,New York
Ottilie Waszczyk,Female,29/03/2000,Jamaica,New York
Lorenzo Como,Male,30/11/1999,Wichita,Kansas
Brett MacRury,Male,25/01/2000,Mount Vernon,New York
Tally Boddington,Male,03/10/1999,Albany,New York
Herrick Le Page,Male,10/11/1999,Great Neck,New York
Thatch Shepeard,Male,30/12/1999,Topeka,Kansas
Jemmie McGann,Female,03/01/2000,Shawnee Mission,Kansas
Kass Kitchiner,Female,21/11/1999,Bronx,New York
Adaline Datte,Female,05/01/2000,New York City,New York
Solly Dinsdale,Male,08/12/1999,Wichita,Kansas
Marijn Moscone,Male,27/10/1999,New York City,New York
Tedmund Faulkener,Male,08/12/1999,New York City,New York
Free Hollows,Male,10/10/1999,Wichita,Kansas
Magdalene Jauncey,Female,10/11/1999,Albany,New York
Rafa Bannon,Female,07/03/2000,New York City,New York
Mollie Purselowe,Female,17/12/1999,New York City,New York
Bank Baigrie,Male,02/03/2000,Kansas City,Kansas
Martelle Gingell,Female,14/11/1999,New York City,New York
Teri Donan,Female,23/10/1999,New York City,New York
Maurizia Fontell,Female,19/11/1999,New York City,New York
Jannelle Sommerled,Female,02/03/2000,Rochester,New York
Mari Kemson,Female,23/02/2000,New York City,New York
Sal Debrett,Male,11/01/2000,New York City,New York
Boot Ludgrove,Male,13/03/2000,New York City,New York
Jolee Cossar,Female,03/02/2000,Rochester,New York
Heddie Thomkins,Female,09/03/2000,Brooklyn,New York
Tremain Folcarelli,Male,01/11/1999,White Plains,New York
Monique MacCart,Female,22/11/1999,Jamaica,New York
Jorgan Adger,Male,29/02/2000,Kansas City,Kansas
Marleah Kilfeder,Female,16/10/1999,New York City,New York
Chloe Mockett,Female,13/01/2000,Buffalo,New York
Guy Blackborough,Male,18/03/2000,Schenectady,New York
Chryste Greenwood,Female,07/10/1999,Buffalo,New York
Alina Galia,Female,29/11/1999,Buffalo,New York
Malina Hought,Female,25/11/1999,Topeka,Kansas
Grange Batty,Male,04/02/2000,Buffalo,New York
Gasparo Vogeler,Male,02/12/1999,Jamaica,New York
Dyna Lomasney,Female,18/02/2000,Kansas City,Kansas
Codie Coste,Female,29/02/2000,Shawnee Mission,Kansas
Herbert Kippax,Male,01/10/1999,Brooklyn,New York
Ida Rendall,Female,16/10/1999,Rochester,New York
Dacy Roos,Female,18/02/2000,Shawnee Mission,Kansas
Betty Frankel,Female,29/03/2000,Bronx,New York
Amalia Pickton,Female,31/01/2000,Topeka,Kansas
Koo McKevitt,Female,13/01/2000,Port Washington,New York
Muire Vedeniktov,Female,16/10/1999,Brooklyn,New York
Leon McKinnon,Male,18/12/1999,Buffalo,New York
Joan Stoll,Female,30/01/2000,Elmira,New York
Wandis Penbarthy,Female,18/03/2000,Bronx,New York
Bunnie Elvidge,Female,07/10/1999,New York City,New York
Ermentrude Gwinnett,Female,22/01/2000,Mount Vernon,New York
Karil MacMechan,Female,03/10/1999,New York City,New York
Carling Pegrum,Male,26/03/2000,Buffalo,New York
Courtenay Birrel,Female,06/12/1999,Syracuse,New York
Arden Nielson,Female,14/03/2000,New York City,New York
Freida Rustich,Female,28/11/1999,Rochester,New York
Cy Fisbey,Male,02/12/1999,Staten Island,New York
Agace Belz,Female,01/02/2000,Flushing,New York
Flossi Leisman,Female,04/12/1999,Staten Island,New York
Prent Trime,Male,15/10/1999,Wichita,Kansas
Yvon Fearnside,Male,12/02/2000,New York City,New York
Berrie Gullane,Female,05/11/1999,New York City,New York
Andy Parbrook,Female,04/12/1999,Bronx,New York
Jamill Walbrook,Male,28/12/1999,Buffalo,New York
Bridie Guirard,Female,19/10/1999,Schenectady,New York
Ulric Yersin,Male,16/12/1999,Buffalo,New York
Sandro Rickett,Male,23/01/2000,New York City,New York
Sam Tocque,Male,19/12/1999,New York City,New York
Petr Currao,Male,19/11/1999,Jamaica,New York
Maegan Plume,Female,19/10/1999,New York City,New York
Lulu Pahlsson,Female,02/11/1999,Albany,New York
Lemmy Sprason,Male,19/10/1999,Buffalo,New York
Jay Ronald,Male,18/10/1999,Syracuse,New York
Manny De Cruce,Male,23/03/2000,New York City,New York
Nev Astley,Male,03/01/2000,New York City,New York
Mildred MacGorrie,Female,21/03/2000,Brooklyn,New York
Frankie Jennaroy,Female,27/12/1999,Hicksville,New York
Andi Veitch,Female,14/02/2000,Albany,New York
Manya Assiter,Female,18/11/1999,Buffalo,New York
Jeniece Dickinson,Female,17/01/2000,New York City,New York
Lesley Searjeant,Male,01/10/1999,Brooklyn,New York
Serena Siddon,Female,01/01/2000,Shawnee Mission,Kansas
Derrick Ingyon,Male,03/12/1999,Albany,New York
Prent Ellsbury,Male,15/11/1999,Bronx,New York
Trix Bezarra,Female,15/02/2000,Jamaica,New York
Page Amsberger,Female,25/02/2000,Wichita,Kansas
Flore Beckson,Female,18/12/1999,New York City,New York
Juanita Elton,Female,11/11/1999,Albany,New York
Terry Le - Count,Female,10/02/2000,New York City,New York
Kara-lynn Kenefick,Female,03/02/2000,Jamaica,New York
Freda MacPeice,Female,05/10/1999,Brooklyn,New York
Elisha Mackerel,Female,15/01/2000,Syracuse,New York
Cordy Gillet,Female,03/10/1999,New York City,New York
Ly Durber,Male,25/12/1999,Rochester,New York
Werner Vedikhov,Male,14/11/1999,New York City,New York
Erasmus Redd,Male,27/12/1999,Jamaica,New York
Ronny Kilpatrick,Female,24/01/2000,Albany,New York
Rosanna D'Onise,Female,11/12/1999,Wichita,Kansas
Ulises Ridgewell,Male,05/12/1999,New York City,New York
Hilarius Carlyle,Male,18/02/2000,Shawnee Mission,Kansas
Gabrila Bails,Female,14/11/1999,Brooklyn,New York
Ingunna Orringe,Female,04/03/2000,Albany,New York
Luciana Kilday,Female,31/10/1999,Great Neck,New York
Carine Heberden,Female,14/12/1999,Wichita,Kansas
Luciana Pankhurst.,Female,25/12/1999,New York City,New York
Corissa Kerner,Female,06/03/2000,Brooklyn,New York
Alia Bodycombe,Female,06/02/2000,Flushing,New York
Tamqrah Kennady,Female,01/12/1999,Shawnee Mission,Kansas
Napoleon Dinis,Male,11/03/2000,Wichita,Kansas
Marena Styche,Female,26/10/1999,Flushing,New York
Annmarie Arnefield,Female,11/01/2000,New York City,New York
Mina Carslaw,Female,18/11/1999,New York City,New York
Hillard Fadden,Male,02/10/1999,Flushing,New York
Woodie Stivey,Male,26/02/2000,White Plains,New York
Eustace Simonnet,Male,03/10/1999,Kansas City,Kansas
Nathanil Karsh,Male,07/12/1999,Brooklyn,New York
Priscella Roly,Female,12/12/1999,New York City,New York
Sonnnie McLelland,Female,15/11/1999,New York City,New York
Buck Van De Cappelle,Male,21/02/2000,Wichita,Kansas
Erroll Tippett,Male,08/11/1999,Rochester,New York
Quintin Boss,Male,25/03/2000,Staten Island,New York
Aggie Rosenbarg,Female,16/12/1999,Brooklyn,New York
Ken Aiers,Male,30/12/1999,New York City,New York
Marielle Lopes,Female,15/03/2000,New York City,New York
Raymond Tassel,Male,28/11/1999,Jamaica,New York
Douglas Grichukhin,Male,19/10/1999,New York City,New York
Hieronymus Rickertsen,Male,10/10/1999,Staten Island,New York
Nealson Brewster,Male,22/03/2000,Wichita,Kansas
Marten Grigoire,Male,13/01/2000,New York City,New York
Carey Glanfield,Male,09/12/1999,Brooklyn,New York
Savina Castagnier,Female,23/12/1999,Rochester,New York
Raul Levet,Male,18/02/2000,Syracuse,New York
Neale Giles,Male,01/12/1999,New York City,New York
Jorie Wilfing,Female,16/10/1999,Flushing,New York
Willdon Currier,Male,11/03/2000,Rochester,New York
Catherine Elvidge,Female,25/03/2000,Brooklyn,New York
Rebeka Patroni,Female,24/10/1999,Shawnee Mission,Kansas
Carleton Cansdall,Male,16/02/2000,Bronx,New York
Dyann MacAdam,Female,02/03/2000,Albany,New York
Stewart O'Tuohy,Male,07/11/1999,Wichita,Kansas
Gabriel Sieb,Male,20/02/2000,Flushing,New York
Tirrell Luckcuck,Male,29/01/2000,Hicksville,New York
Sampson Tinkler,Male,18/01/2000,Topeka,Kansas
Ike Pally,Male,16/12/1999,New York City,New York
Sari Klima,Female,23/03/2000,Rochester,New York
Everett Valentinetti,Male,29/12/1999,Topeka,Kansas
Ricard Hazeldene,Male,14/10/1999,Albany,New York
Mandel Undrell,Male,03/03/2000,New York City,New York
Rey Fazackerley,Female,06/03/2000,Schenectady,New York
Jack Humphries,Male,12/11/1999,Syracuse,New York
Humfried Goodrich,Male,08/12/1999,Topeka,Kansas
Avery Paxforde,Male,21/11/1999,New York City,New York
Joseito Sket,Male,27/01/2000,New York City,New York
Deerdre Poundford,Female,09/02/2000,Port Washington,New York
Eward Schultze,Male,02/02/2000,Syracuse,New York
Theo Attle,Female,14/12/1999,New York City,New York
Sascha De Roeck,Male,20/11/1999,Albany,New York
Carlyle McPhilemy,Male,06/11/1999,White Plains,New York
Isis Bridgstock,Female,14/11/1999,Shawnee Mission,Kansas
Burke Aveline,Male,21/01/2000,Rochester,New York
Wesley McCay,Male,21/11/1999,New York City,New York
Lora Grzegorek,Female,17/02/2000,Brooklyn,New York
Darbee Bagshawe,Male,04/03/2000,Bronx,New York
Orren Milliere,Male,19/10/1999,Albany,New York
Cullan Bradnock,Male,29/10/1999,New York City,New York
Charis Bossons,Female,19/12/1999,New York City,New York
Bobbette Officer,Female,14/12/1999,Rochester,New York
Tatiania Gopsall,Female,21/12/1999,Syracuse,New York
Anica Roblett,Female,18/03/2000,Jamaica,New York
Lefty Biles,Male,29/01/2000,Brooklyn,New York
Garry Ashcroft,Male,21/03/2000,New York City,New York
Eadie Janaway,Female,08/02/2000,Buffalo,New York
William Dupey,Male,13/11/1999,Rochester,New York
Sibella Morecombe,Female,01/02/2000,Rochester,New York
Verge Vahey,Male,07/10/1999,Brooklyn,New York
Wendall Tillot,Male,09/01/2000,New York City,New York
Lalo Whorlow,Male,02/11/1999,Albany,New York
Kerrin Sjollema,Female,17/01/2000,New York City,New York
Karry Dorling,Female,18/12/1999,Flushing,New York
Eleanor Bondley,Female,27/10/1999,Port Washington,New York
Katuscha Gledhill,Female,08/10/1999,Albany,New York
Gale Leaf,Female,23/12/1999,Wichita,Kansas
Wynnie Pitrasso,Female,09/01/2000,New York City,New York
Abdul Mea,Male,09/10/1999,New York City,New York
Judas Dods,Male,13/10/1999,Topeka,Kansas
Palmer Davidof,Male,08/01/2000,Kansas City,Kansas
Shawnee Kinnerk,Female,24/10/1999,Topeka,Kansas
Therese Grayshan,Female,03/10/1999,Brooklyn,New York
Jaimie Yeulet,Female,06/03/2000,Brooklyn,New York
Livvie Vedstra,Female,28/12/1999,Shawnee Mission,Kansas
Ilise Leggen,Female,01/02/2000,Rochester,New York
Cleve Meekins,Male,17/02/2000,Albany,New York
Libbey Mertsching,Female,17/10/1999,Bronx,New York
Patrica Ondrus,Female,21/01/2000,New York City,New York
Kassey Chetter,Female,19/11/1999,New York City,New York
Gwendolen Hext,Female,29/10/1999,Rochester,New York
Vivienne Durnell,Female,07/03/2000,Hicksville,New York
Hendrika Denisyev,Female,14/02/2000,Flushing,New York
Tiffi Hadenton,Female,26/11/1999,Brooklyn,New York
Rurik Coupland,Male,20/12/1999,New York City,New York
Paolo Patrono,Male,04/11/1999,Buffalo,New York
Edee MacSween,Female,20/02/2000,Flushing,New York
Thurston Aries,Male,08/01/2000,Yonkers,New York
Selie MacWhan,Female,24/12/1999,Topeka,Kansas
Rhett Syseland,Male,15/12/1999,Shawnee Mission,Kansas
Lilah Arrault,Female,16/12/1999,New York City,New York
Phip Yeo,Male,14/12/1999,Flushing,New York
Danna Spottiswood,Female,14/12/1999,Albany,New York
Jackelyn Holson,Female,23/11/1999,Staten Island,New York
Elfie Collcott,Female,07/02/2000,White Plains,New York
Gerta Kleinerman,Female,23/12/1999,New Hyde Park,New York
Anthiathia Mc Pake,Female,17/12/1999,New York City,New York
Vera Jahnig,Female,09/01/2000,Brooklyn,New York
Mallory Vials,Male,18/12/1999,Brooklyn,New York
Gennie Frichley,Female,20/12/1999,Buffalo,New York
Claire Jimmes,Male,01/10/1999,Brooklyn,New York
Arvy McKernon,Male,17/12/1999,New York City,New York
Cal Schwandner,Female,14/03/2000,Topeka,Kansas
Pail Janton,Male,05/10/1999,New York City,New York
Yvon Callard,Male,17/01/2000,Staten Island,New York
Lucine McCrisken,Female,04/12/1999,New York City,New York
Dur Molyneux,Male,27/12/1999,New York City,New York
Blane Mancell,Male,22/01/2000,Shawnee Mission,Kansas
Mariana Fullbrook,Female,18/01/2000,Albany,New York
Felice Lackinton,Male,19/10/1999,Rochester,New York
Noam Stuck,Male,20/02/2000,White Plains,New York
Sasha Shipton,Male,09/01/2000,Wichita,Kansas
Durand Flanders,Male,06/11/1999,Shawnee Mission,Kansas
Keefe Goulborn,Male,05/10/1999,New York City,New York
Cally Physick,Female,22/10/1999,Mount Vernon,New York
Sonnie Britto,Male,01/12/1999,New York City,New York
Gawen Hardern,Male,23/03/2000,Kansas City,Kansas
Giff McSkin,Male,18/10/1999,Hicksville,New York
Evin Roughan,Male,16/12/1999,Brooklyn,New York
Blinni Wilby,Female,25/02/2000,Bronx,New York
Aarika Stellino,Female,24/11/1999,Jamaica,New York
Valida Thorns,Female,29/11/1999,Rochester,New York
Eduardo Saberton,Male,16/10/1999,Topeka,Kansas
Lucian Graffham,Male,18/12/1999,Topeka,Kansas
Lark Kildea,Female,26/12/1999,Bronx,New York
Katine Barfoot,Female,12/12/1999,Buffalo,New York
Quinn Gainfort,Female,21/02/2000,New York City,New York
Nellie Kynastone,Female,20/11/1999,New York City,New York
Cathrine Lahy,Female,17/02/2000,Rochester,New York
Querida Turrill,Female,21/02/2000,Topeka,Kansas
Uriel Godar,Male,09/02/2000,Rochester,New York
Cherie Bamborough,Female,01/10/1999,Shawnee Mission,Kansas
Jerrold Crosskell,Male,05/11/1999,Brooklyn,New York
Marta Widdowson,Female,12/01/2000,Syracuse,New York
Janka Meredith,Female,22/11/1999,Rochester,New York
Lek Scanterbury,Male,28/10/1999,New York City,New York
Janaye Pimme,Female,16/01/2000,Albany,New York
Pembroke Postgate,Male,05/02/2000,New York City,New York
Cord Outridge,Male,15/02/2000,Buffalo,New York
Ivor Gaitskill,Male,07/10/1999,New York City,New York
Ingar Straughan,Male,07/10/1999,Topeka,Kansas
Emiline Connelly,Female,27/01/2000,Wichita,Kansas
Cristal Pegram,Female,02/10/1999,Rochester,New York
Ham Cleverley,Male,08/03/2000,Albany,New York
Killie Alford,Male,13/02/2000,Yonkers,New York
Dian Wakelin,Female,13/11/1999,Buffalo,New York
Marlie Tilburn,Female,28/03/2000,Topeka,Kansas
Wilton Verbeek,Male,09/01/2000,Buffalo,New York
Gayle Grewcock,Female,08/12/1999,Syracuse,New York
Deeyn Bloodworthe,Female,11/10/1999,Schenectady,New York
Olivette Kinworthy,Female,13/11/1999,Elmira,New York
Gareth Thornham,Male,29/03/2000,New York City,New York
Domenic Izkovici,Male,21/10/1999,New Hyde Park,New York
Christean Kolakowski,Female,07/11/1999,New York City,New York
Gwenny Ricker,Female,03/03/2000,Schenectady,New York
Seka Keld,Female,09/10/1999,Bronx,New York
Damien Beacock,Male,06/12/1999,Buffalo,New York
Toinette Forstall,Female,23/03/2000,Buffalo,New York
Mordy Pressland,Male,19/03/2000,Jamaica,New York
Koralle Ivashnikov,Female,01/10/1999,Shawnee Mission,Kansas
Colin Crowden,Male,02/11/1999,Port Washington,New York
Adelina Von Brook,Female,16/12/1999,Brooklyn,New York
Humfried Sacker,Male,12/03/2000,Bronx,New York
Kayne Geffinger,Male,13/10/1999,Jamaica,New York
Cazzie Humbee,Male,11/12/1999,New York City,New York
Shepard Rutigliano,Male,28/11/1999,Buffalo,New York
Ennis Caffrey,Male,20/11/1999,Elmira,New York
Javier Rawls,Male,01/03/2000,Mount Vernon,New York
Lotta Quinnelly,Female,04/03/2000,Albany,New York
Jocelyn Scorey,Female,10/01/2000,New York City,New York
Henry MacCafferky,Male,06/11/1999,Topeka,Kansas
Desmond Sarfat,Male,06/02/2000,Staten Island,New York
Percival Lubeck,Male,15/01/2000,Jamaica,New York
Desiri Craigg,Female,09/03/2000,New York City,New York
Fabien Benditt,Male,27/12/1999,Albany,New York
Witty Bolding,Male,06/12/1999,Flushing,New York
Micheal Paye,Male,27/10/1999,Albany,New York
Gail Palmby,Male,12/10/1999,Brooklyn,New York
Brook Scoles,Female,31/01/2000,New York City,New York
Zacharie Klugel,Male,22/10/1999,New York City,New York
Nora Jeannard,Female,15/03/2000,Kansas City,Kansas
Valle Connold,Male,31/01/2000,Jamaica,New York
Edan Sperring,Male,25/12/1999,New York City,New York
Gerry Oattes,Female,25/11/1999,Shawnee Mission,Kansas
Winne McGourty,Female,29/02/2000,Syracuse,New York
Carly Olifard,Male,15/11/1999,New York City,New York
Phillida Eccleshare,Female,10/12/1999,Wichita,Kansas
Tuesday Buddle,Female,21/10/1999,Albany,New York
Phineas Matteoni,Male,04/01/2000,Schenectady,New York
Dorthy Coneau,Female,15/11/1999,Hicksville,New York
Dall Arnolds,Male,23/02/2000,New York City,New York
Filmer O'Kuddyhy,Male,13/10/1999,Flushing,New York
Dave Quittonden,Male,11/01/2000,Albany,New York
Esme Richmont,Female,09/10/1999,Jamaica,New York
Godiva Basham,Female,31/10/1999,Elmira,New York
Kean Biggar,Male,12/10/1999,Shawnee Mission,Kansas
Claiborn Greenwood,Male,09/12/1999,New York City,New York
Bendite Mellhuish,Female,09/02/2000,Buffalo,New York
Sherwood Janczak,Male,02/02/2000,Yonkers,New York
Burt Rohloff,Male,05/02/2000,Kansas City,Kansas
Ruthann Hurren,Female,21/02/2000,Mount Vernon,New York
Tierney Philott,Female,25/02/2000,Bronx,New York
Lilah Pomroy,Female,28/03/2000,New York City,New York
Tedra Eatherton,Female,04/11/1999,New York City,New York
Marlo Lambe,Male,05/11/1999,Port Washington,New York
Teador Yitzovicz,Male,10/02/2000,Wichita,Kansas
Vernice Poff,Female,27/01/2000,Staten Island,New York
Steffen Battram,Male,13/01/2000,White Plains,New York
Alberto Langsdon,Male,23/02/2000,Albany,New York
Stephannie Charlin,Female,28/01/2000,Bronx,New York
Angelia Halso,Female,30/01/2000,Brooklyn,New York
Sarita Yuryatin,Female,06/02/2000,Albany,New York
Fleming Gilbertson,Male,10/12/1999,Flushing,New York
Byrann Fey,Male,08/10/1999,Brooklyn,New York
Cynde Wallis,Female,14/02/2000,Schenectady,New York
Andriana Netherclift,Female,09/01/2000,Jamaica,New York
Roselin Samwayes,Female,22/10/1999,Buffalo,New York
Sheree Rickets,Female,28/02/2000,New York City,New York
Erek Mattke,Male,02/11/1999,Shawnee Mission,Kansas
Raquel Varnham,Female,15/10/1999,Kansas City,Kansas
Ulrikaumeko Carff,Female,20/11/1999,New York City,New York
Holt Bonar,Male,20/11/1999,Kansas City,Kansas
Laurena Giddins,Female,02/10/1999,Jamaica,New York
Chaim McGuckin,Male,07/02/2000,New York City,New York
Dru Legate,Male,28/10/1999,Schenectady,New York
Daniela Macklam,Female,03/12/1999,Port Washington,New York
Porter Maddams,Male,23/10/1999,New York City,New York
Thatch Tanby,Male,16/11/1999,Albany,New York
Tory Thaim,Female,03/03/2000,Jamaica,New York
Vicky Sanz,Female,02/01/2000,New York City,New York
Alic Dufty,Male,31/10/1999,Brooklyn,New York
Bernardine Slee,Female,27/03/2000,Staten Island,New York
Myra Orta,Female,04/02/2000,Brooklyn,New York
Neale Eagling,Male,28/11/1999,Albany,New York
Anne-marie Tern,Female,27/03/2000,Albany,New York
Lorry Ginnaly,Female,27/10/1999,Syracuse,New York
Arlyn Alti,Female,26/12/1999,New York City,New York
Emerson Fey,Male,06/11/1999,Schenectady,New York
Monah Anglin,Female,06/11/1999,New York City,New York
Mariska Espinazo,Female,13/02/2000,Topeka,Kansas
Sukey Kunkler,Female,09/03/2000,Rochester,New York
Giffy Barkhouse,Male,29/12/1999,Albany,New York
Tammy Perotti,Male,22/12/1999,Albany,New York
Eleanor Loding,Female,27/01/2000,Rochester,New York
Addia Squibe,Female,03/03/2000,Brooklyn,New York
Morton Kennermann,Male,13/02/2000,Brooklyn,New York
Hestia De Meis,Female,20/01/2000,Jamaica,New York
Drake Lutzmann,Male,08/11/1999,Syracuse,New York
Roddy Jessep,Male,27/02/2000,Schenectady,New York
Cordy Aluard,Male,08/03/2000,New York City,New York
Rozelle Henniger,Female,21/11/1999,Buffalo,New York
Elijah Vassel,Male,20/03/2000,New York City,New York
Kelci Hindenburg,Female,10/11/1999,New York City,New York
Morten Phettiplace,Male,09/12/1999,Kansas City,Kansas
Jarret Trustram,Male,29/10/1999,Wichita,Kansas
Lacey McGinley,Female,25/03/2000,Wichita,Kansas
Krishnah Crack,Male,14/12/1999,Rochester,New York
Kellie Buttriss,Female,23/03/2000,Albany,New York
Winnifred Potier,Female,28/02/2000,Syracuse,New York
Miranda Pentlow,Female,30/10/1999,New York City,New York
Debra Breitler,Female,07/01/2000,New York City,New York
Kellia Root,Female,11/12/1999,Brooklyn,New York
Kathie Finessy,Female,27/03/2000,Brooklyn,New York
Jorge Bengtsson,Male,05/10/1999,Bronx,New York
Richard Tilbury,Male,27/10/1999,Brooklyn,New York
Mathilde Wheowall,Female,23/01/2000,Jamaica,New York
Nollie Dearnaly,Male,10/03/2000,Brooklyn,New York
Feodora Oakenfall,Female,03/02/2000,Shawnee Mission,Kansas
Sascha Grissett,Female,23/12/1999,Albany,New York
Clarisse Neame,Female,11/11/1999,New York City,New York
Hebert Melliard,Male,07/02/2000,Albany,New York
Clarisse Elmar,Female,03/01/2000,Topeka,Kansas
